# Sensor Aleea Politehnicii, Bucharest, Romania (uRad Monitor/20d96b7e)
# https://aqicn.org/station/@365821/
# Daily pm10
date,min,max,median,q1,q3,stdev,count
2023-02-10T00:00:00.000Z,14,56,43,37,51,9.522,103
2023-02-11T00:00:00.000Z,39,67,52,47,59,7.125,227
2023-02-12T00:00:00.000Z,34,99,61,48,65,13.694,206
2023-02-13T00:00:00.000Z,10,81,44,27,68,21.85,253
2023-02-14T00:00:00.000Z,24,109,52.5,39,74,21.562,246
2023-02-15T00:00:00.000Z,14,66,39,28,54,15.119,202
2023-02-16T00:00:00.000Z,27,68,53,47,56,7.995,199
2023-02-17T00:00:00.000Z,33,73,56.5,45,65,11.383,202
2023-02-18T00:00:00.000Z,15,49,30.5,23,37,9.281,198
2023-02-19T00:00:00.000Z,7,33,22,16,27,6.413,206
2023-02-20T00:00:00.000Z,3,29,13,10,15.5,5.249,161
2023-02-21T00:00:00.000Z,6,20,14,9,15,3.496,150
2023-02-22T00:00:00.000Z,6,67,22,17,28,11.659,191
2023-02-23T00:00:00.000Z,5,17,12,10,14,2.664,158
2023-02-24T00:00:00.000Z,8,43,27,18,36,10.189,187
2023-02-25T00:00:00.000Z,35,58,44,41,47,4.253,170
2023-02-26T00:00:00.000Z,8,47,29,13,40,13.071,170
2023-02-27T00:00:00.000Z,8,32,15,11,24,6.855,164
2023-02-28T00:00:00.000Z,16,38,29,22.5,33,6.345,192
2023-03-01T00:00:00.000Z,26,39,33,31,35,3.338,176
2023-03-02T00:00:00.000Z,28,41,35,33,37,2.707,199
2023-03-03T00:00:00.000Z,37,61,46.5,42,55,7.252,188
2023-03-04T00:00:00.000Z,36,60,46,43,55,6.831,192
2023-03-05T00:00:00.000Z,24,73,41,36,44.5,9.168,193
2023-03-06T00:00:00.000Z,18,55,30,26,40,8.457,204
2023-03-07T00:00:00.000Z,8,62,32,20,53,16.677,186
2023-03-08T00:00:00.000Z,5,52,20,11,44,16.397,153
2023-03-09T00:00:00.000Z,5,22,12,8,16,4.32,153
