# Sensor Aleea Politehnicii, Bucharest, Romania (uRad Monitor/20d96b7e)
# https://aqicn.org/station/@365821/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-02-10T00:00:00.000Z,12,43,33.5,30,39,7.103,74
2023-02-11T00:00:00.000Z,31,55,41,37,47,5.777,193
2023-02-12T00:00:00.000Z,27,85,48.5,39,54,11.436,194
2023-02-13T00:00:00.000Z,10,68,35.5,23,59,18.059,196
2023-02-14T00:00:00.000Z,22,89,45.5,31,63.5,18.532,188
2023-02-15T00:00:00.000Z,13,59,38,23,47,12.312,174
2023-02-16T00:00:00.000Z,23,60,42,38,45,6.55,195
2023-02-17T00:00:00.000Z,27,63,45.5,37,52,9.652,204
2023-02-18T00:00:00.000Z,15,38,26,20,31.5,6.531,152
2023-02-19T00:00:00.000Z,6,26,19,14,22.5,5.094,153
2023-02-20T00:00:00.000Z,3,22,12,9,14,4.118,142
2023-02-21T00:00:00.000Z,5,18,13,9,14,2.986,142
2023-02-22T00:00:00.000Z,6,59,19,15,24,10.626,159
2023-02-23T00:00:00.000Z,4,16,10.5,9,13,2.486,140
2023-02-24T00:00:00.000Z,8,33,23,14,29,7.927,135
2023-02-25T00:00:00.000Z,29,48,35,32,38,4.038,161
2023-02-26T00:00:00.000Z,8,37,24,12,32,9.674,140
2023-02-27T00:00:00.000Z,7,26,13,10,20,5.466,143
2023-02-28T00:00:00.000Z,13,29,24,19.5,26,4.135,144
2023-03-01T00:00:00.000Z,22,30,26,25,28,2.055,143
2023-03-02T00:00:00.000Z,23,32,28,27,29,1.867,140
2023-03-03T00:00:00.000Z,29,53,36,34,45,6.391,162
2023-03-04T00:00:00.000Z,28,50,36,33,43,5.78,169
2023-03-05T00:00:00.000Z,22,64,32,29,36,9.213,150
2023-03-06T00:00:00.000Z,17,47,25,22,31,6.585,157
2023-03-07T00:00:00.000Z,7,53,27,17,42,13.788,170
2023-03-08T00:00:00.000Z,5,46,18.5,10,36,13.371,136
2023-03-09T00:00:00.000Z,4,20,11,8,14,4.018,132
2023-03-10T00:00:00.000Z,3,30,17,11,23.5,7.617,153
2023-03-11T00:00:00.000Z,3,29,17,7,24,8.488,126
2023-03-12T00:00:00.000Z,5,35,12,11,20,6.621,147
2023-03-13T00:00:00.000Z,10,58,25,15.5,35.5,12.636,136
2023-03-14T00:00:00.000Z,2,33,9.5,6,17,7.469,128
2023-03-15T00:00:00.000Z,5,30,13,10,22,7.058,133
2023-03-16T00:00:00.000Z,6,29,18,11,24,6.74,166
2023-03-17T00:00:00.000Z,3,25,18,14,22.5,6.041,157
2023-03-18T00:00:00.000Z,3,29,8,6,18,7.91,126
2023-03-19T00:00:00.000Z,14,51,28,23,30,7.42,138
2023-03-20T00:00:00.000Z,20,59,39,30,49,11.706,191
2023-03-21T00:00:00.000Z,21,37,28,25,30,3.327,124
2023-03-22T00:00:00.000Z,15,42,29,26,31,4.559,130
2023-03-23T00:00:00.000Z,22,42,31,27,34,4.248,133
2023-03-24T00:00:00.000Z,10,53,27,17,33,10.283,149
2023-03-25T00:00:00.000Z,10,50,17,15,29,10.255,148
2023-03-26T00:00:00.000Z,1,30,8,3,12,6.191,131
2023-03-27T00:00:00.000Z,7,27,14,12,22,5.651,135
2023-03-28T00:00:00.000Z,2,19,9,6,14,4.57,143
2023-03-29T00:00:00.000Z,3,31,14,8,20,7.217,162
2023-03-30T00:00:00.000Z,5,46,16,10,19,8.867,161
2023-03-31T00:00:00.000Z,5,35,19,13,23,7.094,130
2023-04-01T00:00:00.000Z,12,40,25,20,30,6.671,141
2023-04-02T00:00:00.000Z,6,58,13,9,25,10.476,160
2023-04-03T00:00:00.000Z,7,28,16,13,22,5.586,142
2023-04-04T00:00:00.000Z,3,20,7,6,10,3.916,122
2023-04-05T00:00:00.000Z,2,28,19,16,22,5.654,166
2023-04-06T00:00:00.000Z,11,32,24,16,27,5.879,151
2023-04-07T00:00:00.000Z,20,32,27,24.5,30,3.261,120
2023-04-08T00:00:00.000Z,24,41,31,28,34,4.038,122
2023-04-09T00:00:00.000Z,20,37,27,24,32,4.708,121
2023-04-10T00:00:00.000Z,15,30,24,19,28,4.575,122
2023-04-11T00:00:00.000Z,4,28,18,11,20,5.73,167
2023-04-12T00:00:00.000Z,7,35,16,13,22,7.203,121
2023-04-13T00:00:00.000Z,5,35,18,10,30,9.822,137
2023-04-14T00:00:00.000Z,6,23,11,8,17,5.273,125
2023-04-15T00:00:00.000Z,2,19,10,4,14,5.495,123
2023-04-16T00:00:00.000Z,5,20,17,14,18,3.879,133
2023-04-17T00:00:00.000Z,11,23,18,16.5,19,2.512,132
2023-04-18T00:00:00.000Z,7,17,12,9.5,14,2.524,125
2023-04-19T00:00:00.000Z,10,34,20,15,25,6.356,139
2023-04-20T00:00:00.000Z,7,34,18,13.5,30.5,8.898,133
2023-04-21T00:00:00.000Z,7,26,14,9,17,5.021,127
2023-04-22T00:00:00.000Z,9,49,18,13,25.5,10.454,148
2023-04-23T00:00:00.000Z,11,40,18,13,31.5,9.218,140
2023-04-24T00:00:00.000Z,10,26,18,14,21,4.163,129
2023-04-25T00:00:00.000Z,3,31,20,13,23,6.85,143
2023-04-26T00:00:00.000Z,2,25,7,5,20,7.558,119
2023-04-27T00:00:00.000Z,6,16,12,9,13,2.256,139
2023-04-28T00:00:00.000Z,6,21,13,9,16,3.97,139
2023-04-29T00:00:00.000Z,11,28,18,15,21,4.035,138
2023-04-30T00:00:00.000Z,8,38,14,11,26,9.117,120
2023-05-01T00:00:00.000Z,9,25,15,13,19,4.03,144
2023-05-02T00:00:00.000Z,6,17,9,8,12,2.562,112
2023-05-03T00:00:00.000Z,5,20,11,9,13.5,3.6,125
2023-05-04T00:00:00.000Z,8,29,15,12,19,4.433,139
2023-05-05T00:00:00.000Z,7,26,16,12,19.5,4.587,132
2023-05-06T00:00:00.000Z,3,18,9,5,12,3.611,117
2023-05-07T00:00:00.000Z,8,52,11,10,13,9.704,152
2023-05-15T00:00:00.000Z,8,17,11,10,12,2.013,131
2023-05-16T00:00:00.000Z,6,17,12,8,14,3.082,125
2023-05-17T00:00:00.000Z,10,18,13,12,15,2.083,126
2023-05-18T00:00:00.000Z,5,24,13,11,16,4.32,129
2023-05-19T00:00:00.000Z,10,22,15,13,18,2.957,126
2023-05-20T00:00:00.000Z,11,24,17,14,19,3.082,128
2023-05-21T00:00:00.000Z,8,19,12,11,14,2.326,143
2023-05-22T00:00:00.000Z,7,19,11,9,13,3.18,131
2023-05-23T00:00:00.000Z,5,22,11,8.5,17,4.49,132
2023-05-24T00:00:00.000Z,5,23,13,10,19,5.22,129
2023-05-25T00:00:00.000Z,8,17,12,11,14,1.899,135
2023-05-26T00:00:00.000Z,8,19,12,11,15,2.359,124
2023-05-27T00:00:00.000Z,8,23,16,12,18,3.669,139
2023-05-28T00:00:00.000Z,6,20,13,12,15,2.832,137
2023-05-29T00:00:00.000Z,7,20,12,10,16.5,3.641,136
2023-05-30T00:00:00.000Z,7,26,14,10,17,4.58,136
2023-05-31T00:00:00.000Z,7,18,11,9,16,3.712,110
2023-06-01T00:00:00.000Z,10,26,16,14,21,4.093,139
2023-06-02T00:00:00.000Z,7,30,13,11,24,6.865,131
2023-06-03T00:00:00.000Z,4,14,9,7,11,2.608,114
2023-06-04T00:00:00.000Z,3,8,4,3,5,1.273,108
2023-06-05T00:00:00.000Z,2,13,5,4,7,2.58,121
2023-06-06T00:00:00.000Z,3,9,6,6,7,1.322,115
2023-06-07T00:00:00.000Z,5,16,8,7,9,2.054,135
2023-06-08T00:00:00.000Z,5,18,10,8,12,3.109,131
2023-06-09T00:00:00.000Z,6,19,11,9,14,3.395,133
2023-06-10T00:00:00.000Z,8,28,14,12,15,3.089,134
2023-06-11T00:00:00.000Z,9,21,13,12,15,2.821,133
2023-06-12T00:00:00.000Z,3,19,9,5,11,4.001,118
2023-06-13T00:00:00.000Z,4,13,7,6,8,1.849,114
2023-06-14T00:00:00.000Z,5,28,12,10,15,4.825,130
2023-06-15T00:00:00.000Z,6,22,11,9,17,4.646,135
2023-06-16T00:00:00.000Z,3,16,10,8,11,2.526,121
2023-06-17T00:00:00.000Z,10,23,15.5,12,17,2.81,134
2023-06-18T00:00:00.000Z,4,17,11,9,13,2.941,131
2023-06-19T00:00:00.000Z,5,14,9,7,10,2.072,128
2023-06-20T00:00:00.000Z,5,25,13,9,16,4.621,142
2023-06-21T00:00:00.000Z,9,20,15,13,17.5,2.552,133
2023-06-22T00:00:00.000Z,10,26,17,15,21,3.747,131
2023-06-23T00:00:00.000Z,16,27,19,18,23,2.943,123
2023-06-24T00:00:00.000Z,7,22,17,14,19,3.442,134
2023-06-25T00:00:00.000Z,5,21,14,11,15,3.359,144
2023-06-26T00:00:00.000Z,3,16,10,8,12,3.15,127
2023-06-27T00:00:00.000Z,7,17,10,9,13,2.831,129
2023-06-28T00:00:00.000Z,6,22,11,9,15,4.289,135
2023-06-29T00:00:00.000Z,4,27,9,8,20,6.979,150
2023-06-30T00:00:00.000Z,4,22,9,6,13,4.547,135
2023-07-01T00:00:00.000Z,8,22,12,11,16,3.234,132
2023-07-02T00:00:00.000Z,7,22,14,11,18,3.693,128
2023-07-03T00:00:00.000Z,13,23,17,16,19,2.243,131
2023-07-04T00:00:00.000Z,8,22,16,15,18,2.89,143
2023-07-05T00:00:00.000Z,9,21,15,12,17,3.172,138
2023-07-06T00:00:00.000Z,11,32,15,13,18,3.904,143
2023-07-07T00:00:00.000Z,8,26,13,11,15,3.322,140
2023-07-08T00:00:00.000Z,4,16,8,6,10,2.701,128
2023-07-09T00:00:00.000Z,5,22,11,7,14,4.408,122
2023-07-10T00:00:00.000Z,9,24,14,13,16,2.284,138
2023-07-11T00:00:00.000Z,8,25,17,15.5,19,3.468,116
2023-07-12T00:00:00.000Z,7,28,18,17,19,4.397,127
2023-07-13T00:00:00.000Z,15,24,20,18,22,2.521,122
2023-07-14T00:00:00.000Z,4,23,9,6.5,12,4.1,133
2023-07-15T00:00:00.000Z,8,14,10,9,11,1.513,126
2023-07-16T00:00:00.000Z,8,16,11,10,12,1.599,128
2023-07-17T00:00:00.000Z,9,20,15,14,16,1.995,119
2023-07-18T00:00:00.000Z,6,19,13,8,16,4.001,135
2023-07-19T00:00:00.000Z,8,27,12,10,14,3.489,123
2023-07-20T00:00:00.000Z,6,24,11,8.5,14.5,4.273,112
2023-07-21T00:00:00.000Z,10,17,12,11,13,1.558,129
2023-07-22T00:00:00.000Z,2,14,6,5,8,2.48,109
2023-07-23T00:00:00.000Z,5,20,9,7,10.5,3.625,125
2023-07-24T00:00:00.000Z,7,19,12,9,15,3.27,122
2023-07-25T00:00:00.000Z,10,22,19,16,20,3.12,126
2023-07-26T00:00:00.000Z,6,24,14,11,18,4.517,141
2023-07-27T00:00:00.000Z,2,16,6,4,11,4.233,117
2023-07-28T00:00:00.000Z,3,17,7,5,11,3.761,123
2023-07-29T00:00:00.000Z,5,20,11,7,14,4.568,124
2023-07-30T00:00:00.000Z,7,23,13,12,15,3.069,135
2023-07-31T00:00:00.000Z,9,24,13,11,16,3.739,132
2023-08-01T00:00:00.000Z,7,17,12,10,14,2.591,141
2023-08-02T00:00:00.000Z,8,18,13,11,15,2.377,128
2023-08-03T00:00:00.000Z,12,21,15,14,17,2.062,126
2023-08-04T00:00:00.000Z,8,21,18,16,19,2.812,115
2023-08-05T00:00:00.000Z,5,22,11,9,17,4.711,121
2023-08-06T00:00:00.000Z,4,24,15,10,20,5.638,127
2023-08-07T00:00:00.000Z,1,15,3,2,5,2.275,119
2023-08-08T00:00:00.000Z,1,22,6,4,12,5.878,139
2023-08-09T00:00:00.000Z,1,9,6,3,7,2.119,110
2023-08-10T00:00:00.000Z,3,12,8,6,9,2.126,117
2023-08-11T00:00:00.000Z,5,13,8,7,9,1.597,127
2023-08-12T00:00:00.000Z,6,17,12,9,14,2.923,121
2023-08-13T00:00:00.000Z,7,18,10,8,13,3.246,98
2023-08-14T00:00:00.000Z,6,17,9,8,14,2.959,68
2023-08-15T00:00:00.000Z,12,19,17,15,18,1.784,122
2023-08-16T00:00:00.000Z,7,21,13,11,15,3.004,122
2023-08-17T00:00:00.000Z,6,20,14,10,17,4.073,134
2023-08-18T00:00:00.000Z,13,20,17,16,18,1.489,121
2023-08-19T00:00:00.000Z,8,21,15,12,17,3.04,120
2023-08-20T00:00:00.000Z,7,22,14,13,18,3.3,129
2023-08-21T00:00:00.000Z,11,24,17,14,18,2.636,137
2023-08-22T00:00:00.000Z,14,25,19,17,21,2.867,138
2023-08-23T00:00:00.000Z,11,19,16,15,17,1.712,127
2023-08-24T00:00:00.000Z,6,19,13,12,15,2.675,132
2023-08-25T00:00:00.000Z,13,23,16,15,19,2.361,132
2023-08-26T00:00:00.000Z,9,22,14,13,19,3.777,127
2023-08-27T00:00:00.000Z,8,17,11,10,12,2.024,126
2023-08-28T00:00:00.000Z,8,23,13,12,15,3.12,129
2023-08-29T00:00:00.000Z,11,22,15,14,16,1.983,137
2023-08-30T00:00:00.000Z,8,19,15,12,17,3.108,128
2023-08-31T00:00:00.000Z,5,18,11,8,13,3.363,124
2023-09-01T00:00:00.000Z,6,18,9,8,11,2.539,108
2023-09-02T00:00:00.000Z,6,21,9,8,14,4.124,92
2023-09-03T00:00:00.000Z,3,17,7,5,10.5,3.496,116
2023-09-04T00:00:00.000Z,3,12,8,5,10,2.429,117
2023-09-05T00:00:00.000Z,5,13,8,7,10,1.991,119
2023-09-06T00:00:00.000Z,4,10,7,6,8,1.237,122
2023-09-07T00:00:00.000Z,7,12,9,8,10,1.142,110
2023-09-08T00:00:00.000Z,2,15,7,5,9,2.761,120
2023-09-09T00:00:00.000Z,3,18,8,6,9,3.148,124
2023-09-10T00:00:00.000Z,5,21,8,7,9,3.03,130
2023-09-18T00:00:00.000Z,8,21,12,11,15,2.652,151
2023-09-19T00:00:00.000Z,5,21,13.5,9,17,4.313,138
2023-09-20T00:00:00.000Z,7,22,17,12,19,3.965,126
2023-09-21T00:00:00.000Z,10,25,18,15,20,3.642,141
2023-09-22T00:00:00.000Z,7,23,14,11,18,3.688,142
2023-09-23T00:00:00.000Z,8,21,13,12,14,2.496,132
2023-09-24T00:00:00.000Z,7,18,10,9,13,2.929,121
2023-09-25T00:00:00.000Z,6,23,11,8,15,3.936,126
2023-09-26T00:00:00.000Z,5,17,10,8,12,2.456,130
2023-09-27T00:00:00.000Z,5,16,8,7,11,2.829,116
2023-09-28T00:00:00.000Z,3,12,7.5,5,9,2.241,80
2023-09-29T00:00:00.000Z,7,16,11,9,13,2.188,120
2023-09-30T00:00:00.000Z,10,26,14,12,19,4.064,133
2023-10-01T00:00:00.000Z,4,23,15,14,18,4.354,105
2023-10-02T00:00:00.000Z,4,19,10,8,12,3.009,129
2023-10-03T00:00:00.000Z,7,30,16,11,20,5.746,151
2023-10-04T00:00:00.000Z,7,24,16,11,19,4.611,140
2023-10-05T00:00:00.000Z,6,20,8,7,13,3.888,124
2023-10-06T00:00:00.000Z,9,21,14,11.5,17,2.989,141
2023-10-07T00:00:00.000Z,7,25,12,10,15.5,4.557,137
2023-10-08T00:00:00.000Z,1,16,7.5,3,13,4.866,116
2023-10-09T00:00:00.000Z,1,14,5,3,8,2.841,134
2023-10-10T00:00:00.000Z,3,13,6,4.5,9,2.824,112
2023-10-11T00:00:00.000Z,6,24,12,9,14.5,4.549,121
2023-10-12T00:00:00.000Z,8,28,14,11,18,4.459,120
2023-10-13T00:00:00.000Z,8,34,19,15,24,6.646,128
2023-10-14T00:00:00.000Z,9,32,18.5,12.5,25,6.822,140
