# Sensor Strada Valea Călugărească, Bucharest, Romania (uRad Monitor/8200021f)
# https://aqicn.org/station/@125692/
# Daily pm10
date,min,max,median,q1,q3,stdev,count
2022-02-22T00:00:00.000Z,15,44,27,21,33,6.943,111
2022-02-23T00:00:00.000Z,7,49,24,17,37,11.099,147
2022-02-24T00:00:00.000Z,4,28,16.5,9.5,21,6.734,156
2022-02-25T00:00:00.000Z,9,39,26,20,31,8.199,135
2022-02-26T00:00:00.000Z,6,41,12,10,16,7.976,126
2022-02-27T00:00:00.000Z,3,9,6,4,7,1.72,108
2022-02-28T00:00:00.000Z,3,28,10,6.5,19,7.061,125
2022-03-01T00:00:00.000Z,10,38,24,21,27,5.618,143
2022-03-02T00:00:00.000Z,10,91,35,24,61,21.338,204
2022-03-03T00:00:00.000Z,18,53,32,24,38,9.257,143
2022-03-04T00:00:00.000Z,19,37,25,23,26,2.926,138
2022-03-05T00:00:00.000Z,9,38,28,25,31,6.386,187
2022-03-06T00:00:00.000Z,4,39,11,10,27,9.596,138
2022-03-07T00:00:00.000Z,11,30,16,13,22,5.229,122
2022-03-08T00:00:00.000Z,16,46,27,23,33,6.929,171
2022-03-09T00:00:00.000Z,4,51,14,9,33,15.345,155
2022-03-10T00:00:00.000Z,8,35,12,11,17,7.314,127
2022-03-11T00:00:00.000Z,5,26,13,10,17,4.692,177
2022-03-12T00:00:00.000Z,7,49,23,15,28,10.491,165
2022-03-13T00:00:00.000Z,12,100,23,20,27,11.709,142
2022-03-14T00:00:00.000Z,24,51,34,30,38,6.14,167
2022-03-15T00:00:00.000Z,19,92,50,36,58,16.535,227
2022-03-16T00:00:00.000Z,5,110,68,56,73,20.738,271
2022-03-17T00:00:00.000Z,4,14,7,5,10,2.725,102
2022-03-18T00:00:00.000Z,8,22,13,10,14,3.014,107
2022-03-19T00:00:00.000Z,6,30,17,10,24,7.679,137
2022-03-20T00:00:00.000Z,12,51,23,20,30,8.929,156
2022-03-21T00:00:00.000Z,11,39,25,17,31,8.403,134
2022-03-22T00:00:00.000Z,3,47,18,12,25,9.335,163
2022-03-23T00:00:00.000Z,5,70,18,10,42.5,18.618,172
2022-03-24T00:00:00.000Z,10,99,29,15.5,37.5,17.952,172
2022-03-25T00:00:00.000Z,9,42,18.5,13,22,7.173,136
2022-03-26T00:00:00.000Z,14,52,24,18,29,7.252,138
2022-03-27T00:00:00.000Z,7,44,21,13,29.5,10.095,121
2022-03-28T00:00:00.000Z,6,50,20,11,35,13.857,151
2022-03-29T00:00:00.000Z,21,72,39,28,46,12.421,151
2022-03-30T00:00:00.000Z,26,60,39.5,34,44,8.023,152
2022-03-31T00:00:00.000Z,8,52,17,12,36,13.677,139
2022-04-01T00:00:00.000Z,3,20,10,8,16,4.819,133
2022-04-02T00:00:00.000Z,1,11,3,2,5,2.713,100
2022-04-03T00:00:00.000Z,4,11,9,7,10,2.193,104
2022-04-04T00:00:00.000Z,7,39,17,14,29,8.384,120
2022-04-05T00:00:00.000Z,5,32,14,10,28,8.979,116
2022-04-06T00:00:00.000Z,4,34,12.5,7,19,7.361,120
2022-04-07T00:00:00.000Z,5,35,12,9.5,21.5,7.713,112
2022-04-08T00:00:00.000Z,4,29,8,5,19,8.202,101
2022-04-09T00:00:00.000Z,2,25,8,4,12.5,6.175,112
2022-04-10T00:00:00.000Z,2,12,4,4,8.5,2.78,104
2022-04-11T00:00:00.000Z,2,10,5,4,7,1.813,111
2022-04-12T00:00:00.000Z,3,27,9,3,13,6.186,113
2022-04-13T00:00:00.000Z,4,22,9,6,11,3.737,104
2022-04-14T00:00:00.000Z,4,22,14,7,17,5.463,107
2022-04-15T00:00:00.000Z,4,35,14.5,7.5,19.5,7.441,120
2022-04-16T00:00:00.000Z,1,33,10,8,18,8.398,111
2022-04-17T00:00:00.000Z,1,7,4,4,5,1.348,100
2022-04-18T00:00:00.000Z,2,18,8,3,12,4.348,102
2022-04-19T00:00:00.000Z,4,24,10,8,15,4.624,147
2022-04-20T00:00:00.000Z,5,19,12,7,16,4.428,107
2022-04-21T00:00:00.000Z,7,44,18,13,22,8.604,114
2022-04-22T00:00:00.000Z,6,26,15,11,21,5.661,110
2022-04-23T00:00:00.000Z,2,31,13,5,20,8.524,113
2022-04-24T00:00:00.000Z,2,20,6,4,16,6.198,110
2022-04-25T00:00:00.000Z,1,7,4,3,6,1.652,103
2022-04-26T00:00:00.000Z,2,49,6,3,10,9.917,119
2022-04-27T00:00:00.000Z,2,11,5,2,5,2.289,97
2022-04-28T00:00:00.000Z,6,21,10,9,12,3.113,103
2022-04-29T00:00:00.000Z,2,23,4,3,13,5.97,106
2022-04-30T00:00:00.000Z,3,18,5,4,7,4.216,101
2022-05-01T00:00:00.000Z,4,15,6,5,9,2.962,102
2022-05-02T00:00:00.000Z,2,11,5,3,7,2.287,99
2022-05-03T00:00:00.000Z,4,13,6,5,9,2.493,105
2022-05-04T00:00:00.000Z,5,17,8,6,11,3.203,110
2022-05-05T00:00:00.000Z,3,18,8,4,13,4.996,101
2022-05-06T00:00:00.000Z,3,14,6,4,7,2.735,101
2022-05-07T00:00:00.000Z,4,12,6,5,10,2.493,101
2022-05-08T00:00:00.000Z,2,9,4,3,6,1.663,99
2022-05-09T00:00:00.000Z,2,17,5,3,7,3.176,106
2022-05-10T00:00:00.000Z,4,11,7,6,9,2.171,101
2022-05-11T00:00:00.000Z,3,17,7,4,12,4.059,101
2022-05-12T00:00:00.000Z,3,16,7,5,10,3.234,109
2022-05-13T00:00:00.000Z,4,16,9,5.5,11,3.201,101
