# Sensor Strada Valea Călugărească, Bucharest, Romania (uRad Monitor/8200021f)
# https://aqicn.org/station/@125692/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2022-02-22T00:00:00.000Z,14,39,24,19,30,6.224,104
2022-02-23T00:00:00.000Z,7,44,21,15,33,9.824,134
2022-02-24T00:00:00.000Z,4,25,15,9,19,5.943,143
2022-02-25T00:00:00.000Z,8,35,23,18,28,7.412,124
2022-02-26T00:00:00.000Z,6,37,10.5,9,15,7.51,116
2022-02-27T00:00:00.000Z,3,8,6,4,7,1.493,101
2022-02-28T00:00:00.000Z,3,25,9,6,16.5,6.111,117
2022-03-01T00:00:00.000Z,9,34,21,19,24,5.062,132
2022-03-02T00:00:00.000Z,9,81,31.5,22,54,18.863,190
2022-03-03T00:00:00.000Z,16,47,28,21.5,34,8.151,137
2022-03-04T00:00:00.000Z,17,33,22,20.5,23,2.528,133
2022-03-05T00:00:00.000Z,8,34,25,22,28,5.71,173
2022-03-06T00:00:00.000Z,4,35,10,9,23.5,8.378,133
2022-03-07T00:00:00.000Z,10,27,14,12,19,4.546,115
2022-03-08T00:00:00.000Z,14,41,24,21,30,6.121,157
2022-03-09T00:00:00.000Z,4,45,13,8,29,13.345,143
2022-03-10T00:00:00.000Z,8,31,11,10,15,6.274,119
2022-03-11T00:00:00.000Z,5,23,11,9,15,4.057,163
2022-03-12T00:00:00.000Z,7,43,20,14,25,9.057,148
2022-03-13T00:00:00.000Z,11,88,21,18,24,10.395,135
2022-03-14T00:00:00.000Z,22,46,30,27,33.5,5.52,153
2022-03-15T00:00:00.000Z,17,82,43,31,51,14.575,207
2022-03-16T00:00:00.000Z,5,98,60,49,65,19.107,235
2022-03-17T00:00:00.000Z,4,13,6.5,5,9,2.36,98
2022-03-18T00:00:00.000Z,7,20,12,9,13,2.753,106
2022-03-19T00:00:00.000Z,6,27,15,9,22,6.669,126
2022-03-20T00:00:00.000Z,11,45,21,18,26.5,7.582,145
2022-03-21T00:00:00.000Z,10,35,22,15,28,7.497,129
2022-03-22T00:00:00.000Z,3,41,16,11,22,8.096,147
2022-03-23T00:00:00.000Z,5,62,15.5,9,39,16.329,158
2022-03-24T00:00:00.000Z,9,88,26,14,34,15.797,162
2022-03-25T00:00:00.000Z,8,37,16,12,20,5.871,126
2022-03-26T00:00:00.000Z,13,46,22,16,25.5,6.384,125
2022-03-27T00:00:00.000Z,7,39,19,12,26,8.938,117
2022-03-28T00:00:00.000Z,6,44,15,9,30,12.104,132
2022-03-29T00:00:00.000Z,19,64,35,25,41,10.565,134
2022-03-30T00:00:00.000Z,23,53,35,30,39,7.213,137
2022-03-31T00:00:00.000Z,7,46,15,10,32,11.935,130
2022-04-01T00:00:00.000Z,3,14,8,7,12,2.899,108
2022-04-02T00:00:00.000Z,1,10,3,2,5,2.395,99
2022-04-03T00:00:00.000Z,4,10,8,7,9,1.807,100
2022-04-04T00:00:00.000Z,7,35,15.5,12.5,26,7.399,112
2022-04-05T00:00:00.000Z,5,29,13,9,24.5,7.893,112
2022-04-06T00:00:00.000Z,4,31,11,7,17,6.564,115
2022-04-07T00:00:00.000Z,5,31,11,9,19,6.769,108
2022-04-08T00:00:00.000Z,4,26,7,5,16.5,7.094,100
2022-04-09T00:00:00.000Z,2,22,7,4,11,5.361,109
2022-04-10T00:00:00.000Z,2,11,4,4,8,2.388,103
2022-04-11T00:00:00.000Z,2,9,5,4,6,1.56,107
2022-04-12T00:00:00.000Z,3,25,8,3,12,5.603,109
2022-04-13T00:00:00.000Z,4,20,8,6,10,3.15,102
2022-04-14T00:00:00.000Z,4,20,12,6,15,4.764,102
2022-04-15T00:00:00.000Z,4,31,13,7,17.5,6.533,116
2022-04-16T00:00:00.000Z,1,30,9,8,16.5,7.558,109
2022-04-17T00:00:00.000Z,1,7,4,4,5,1.348,100
2022-04-18T00:00:00.000Z,2,16,7,3,11,3.827,101
2022-04-19T00:00:00.000Z,4,21,9,8,14,3.972,138
2022-04-20T00:00:00.000Z,5,17,11,6,14,3.762,101
2022-04-21T00:00:00.000Z,7,39,16,11,20,7.547,111
2022-04-22T00:00:00.000Z,6,23,14,10.5,19,4.918,105
2022-04-23T00:00:00.000Z,2,28,11.5,5,18,7.61,108
2022-04-24T00:00:00.000Z,2,18,6,4,14,5.423,107
2022-04-25T00:00:00.000Z,1,7,4,3,6,1.652,103
2022-04-26T00:00:00.000Z,2,43,5,3,9,8.514,115
2022-04-27T00:00:00.000Z,2,10,5,2,5,2.071,97
2022-04-28T00:00:00.000Z,6,19,10,8,11,2.719,100
