# Sensor Strada Soldat Ion Ciocodeică, Sector 4, Romania (uRad Monitor/160000e0)
# https://aqicn.org/station/@109819/
# Daily pm1
date,min,max,median,q1,q3,stdev,count
2020-03-26T00:00:00.000Z,3,10,6,5,7,1.716,923
2020-03-27T00:00:00.000Z,2,19,6,5,7,1.688,1441
2020-03-28T00:00:00.000Z,3,25,6,5,17,6.633,829
2020-03-29T00:00:00.000Z,4,95,10,8,13,5.008,1381
2020-03-30T00:00:00.000Z,6,28,15,12,18,4.105,1331
2020-03-31T00:00:00.000Z,1,8,3,3,4,1.222,1186
2020-04-01T00:00:00.000Z,1,13,3,3,5,1.904,1390
2020-04-02T00:00:00.000Z,1,15,2.5,2,3,3.373,500
2020-04-03T00:00:00.000Z,3,32,10,6,18,7.553,307
2020-04-04T00:00:00.000Z,5,43,12,10,23,9.313,308
2020-04-05T00:00:00.000Z,5,18,10,9,12,2.795,301
2020-04-06T00:00:00.000Z,4,57,8,6,12,14.592,300
2020-04-07T00:00:00.000Z,2,22,5,3,7,3.557,280
2020-04-08T00:00:00.000Z,2,49,9,4,20,9.575,325
2020-04-09T00:00:00.000Z,7,23,13,9,18,4.527,299
2020-04-10T00:00:00.000Z,1,43,14,11,18,8.766,326
2020-04-11T00:00:00.000Z,2,35,9,4,12,8.319,292
2020-04-12T00:00:00.000Z,4,37,12,9,16,6.091,305
2020-04-13T00:00:00.000Z,2,37,8,7,16,6.656,315
2020-04-14T00:00:00.000Z,1,25,14,10,17,6.39,295
2020-04-15T00:00:00.000Z,1,7,2,1,4,1.84,245
2020-04-16T00:00:00.000Z,2,9,5,3.5,6,1.687,272
2020-04-17T00:00:00.000Z,2,23,8,5,10,4.572,310
2020-04-18T00:00:00.000Z,3,55,13,6,20,10.518,326
2020-04-19T00:00:00.000Z,4,12,8,6,10,2.072,289
2020-04-20T00:00:00.000Z,1,9,3.5,3,4,1.786,276
2020-04-21T00:00:00.000Z,2,9,5,4,6,1.403,280
2020-04-22T00:00:00.000Z,4,17,7,5,9,2.406,276
2020-04-23T00:00:00.000Z,2,18,6.5,3,9,4.363,290
2020-04-24T00:00:00.000Z,3,12,5,4,7,2.047,275
2020-04-25T00:00:00.000Z,3,12,6,5,7,1.819,280
2020-04-26T00:00:00.000Z,1,9,2,2,3,1.455,271
2020-04-27T00:00:00.000Z,1,23,3,2,4,4.614,268
2020-04-28T00:00:00.000Z,3,22,7,4,9,4.539,292
2020-04-29T00:00:00.000Z,3,84,6,4,7,8.16,305
2020-04-30T00:00:00.000Z,1,13,3,3,7,3.179,278
2020-05-01T00:00:00.000Z,1,21,6,4,10.5,4.469,285
2020-05-02T00:00:00.000Z,1,11,3,2,4,1.567,279
2020-05-03T00:00:00.000Z,1,11,5,3,7,2.265,271
2020-05-04T00:00:00.000Z,1,9,2,1,2,1.242,249
2020-05-05T00:00:00.000Z,1,11,3,2,5,2.087,277
2020-05-06T00:00:00.000Z,1,7,3,2,4,1.334,260
2020-05-07T00:00:00.000Z,1,14,3,2,5.5,3.157,252
2020-05-08T00:00:00.000Z,2,43,7,4,11,8.239,359
2020-05-09T00:00:00.000Z,3,34,7,5,12,6.74,339
2020-05-10T00:00:00.000Z,3,25,9,7,15,5.916,155
2020-05-11T00:00:00.000Z,2,12,7,6,9,2.564,193
2020-05-12T00:00:00.000Z,1,12,2,1,5,2.085,263
2020-05-13T00:00:00.000Z,1,7,2,1,4,1.556,280
2020-05-14T00:00:00.000Z,1,20,3,2,4,2.628,287
2020-05-15T00:00:00.000Z,1,35,4,3,7.5,5.409,316
2020-05-16T00:00:00.000Z,2,8,5,4,6,1.477,288
2020-05-17T00:00:00.000Z,3,77,6,5,8,10.186,330
2020-05-18T00:00:00.000Z,2,12,5,4,6,2.025,291
2020-05-19T00:00:00.000Z,4,19,9,7,10,3.604,298
2020-05-20T00:00:00.000Z,2,21,6,4,11,5.266,303
2020-05-21T00:00:00.000Z,1,6,2,2,3,1.183,278
2020-05-22T00:00:00.000Z,1,9,2,2,3,1.562,295
2020-05-23T00:00:00.000Z,1,45,3,2,5,6.813,1005
2020-05-24T00:00:00.000Z,1,18,4,3,6,3.57,1356
2020-05-25T00:00:00.000Z,0,6,1,1,3,1.265,1300
2020-05-26T00:00:00.000Z,1,16,3,2,4,1.973,1381
2020-05-27T00:00:00.000Z,0,16,1,1,5,3.675,1354
2020-05-28T00:00:00.000Z,1,8,2,1,4,1.504,1350
2020-05-29T00:00:00.000Z,1,29,3,2,4,3.725,1355
2020-05-30T00:00:00.000Z,1,8,4,3,5,1.487,1352
2020-05-31T00:00:00.000Z,1,57,3,2,4,5.455,1362
2020-06-01T00:00:00.000Z,1,9,2,2,3,1.256,1237
2020-06-02T00:00:00.000Z,1,4,2,1,2,0.762,1346
2020-06-03T00:00:00.000Z,1,11,3,2,4,2.052,1374
2020-06-04T00:00:00.000Z,1,10,3,2,5,1.832,1340
2020-06-05T00:00:00.000Z,1,20,4,3,6,2.925,1352
2020-06-06T00:00:00.000Z,1,23,3,2,6,2.92,1369
2020-06-07T00:00:00.000Z,1,8,4,3,5,1.248,1364
2020-06-08T00:00:00.000Z,3,13,6,5,7,2.663,1350
2020-06-09T00:00:00.000Z,4,16,9,6,13,3.537,1342
2020-06-10T00:00:00.000Z,1,8,4,2,6,1.895,1341
